Number;client;Service;Options;geomasked_PU_lat;geomasked_PU_lon;At Pickup time;geomasked_DO_lat;geomasked_DO_lon;At Drop Off time;Cumulated waiting time (HH:mm);ASAP;Job date;Status;COA;Invoice;Pay Period;Source;Number of passengers;Journey Time;Mileage;driver_enc;Vehicle;Creation date;Journey Type;As directed hours
42039;Customer 6;Affaire;;5.258229350246999;-3.934008105705387;2024-09-30 23:31:50.891;5.31752712590936;-4.0156737130463025;2024-09-30 23:53:03.548;0 days 00:00:00;PREBOOK;2024-09-30 22:40:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:21:00;13.13;DRIVER 04;3558KV01;2024-09-24 11:49:53.315;;
42422;Customer 4;Affaire;;5.254700791249109;-3.9331146955773377;2024-09-30 23:17:15.974;5.32168042431632;-4.014606751416666;2024-09-30 23:43:54.710;0 days 00:00:00;PREBOOK;2024-09-30 21:25:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:26:00;80.76;DRIVER 16;;2024-09-30 08:33:25.039;;
42460;Customer 7;Affaire;;5.253437259961736;-3.93621202981694;2024-09-30 22:58:04.075;5.32778923767451;-4.000441137324921;2024-09-30 23:28:19.443;0 days 00:00:00;PREBOOK;2024-09-30 21:25:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:30:00;17.63;DRIVER 23;157JR01;2024-09-30 13:53:04.597;;
42444;Customer 25;Confort;;5.256727319377494;-3.932877818453975;2024-09-30 20:28:02.118;5.322266476634315;-4.015187593025699;2024-09-30 21:01:09.010;0 days 00:00:00;PREBOOK;2024-09-30 19:05:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;3;0 days 00:33:00;15.01;DRIVER 23;157JR01;2024-09-30 11:25:30.622;;
42490;Customer 1;Confort;;5.2886631656316885;-3.9694097139948807;2024-09-30 20:11:56.350;5.294760639513656;-3.985229965179065;2024-09-30 20:19:39.728;0 days 00:12:00;PREBOOK;2024-09-30 20:00:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Booking screen;1;0 days 00:07:00;2.2;DRIVER 54;AA-327-AL-CI01;2024-09-30 17:43:35.405;;
42290;Customer 14;Confort;;5.254581540023759;-3.933728679566544;2024-09-30 20:06:47.684;5.321929286976301;-4.0165500676953565;2024-09-30 20:50:08.887;0 days 00:00:00;PREBOOK;2024-09-30 19:40:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Booking screen;1;0 days 00:43:00;0.0;DRIVER 21;300JZ01;2024-09-27 17:13:59.762;;
42434;Customer 1;Confort;Pont HKB: 1000;;;;;;;;;;;;;;;;;;;;;;
42042;Customer 6;Affaire;;5.2587626143320225;-3.930460510828373;2024-09-30 19:58:55.954;5.319382377595098;-4.018246015259354;2024-09-30 20:33:41.421;0 days 00:00:00;PREBOOK;2024-09-30 18:35:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:34:00;14.12;DRIVER 05;738KB01;2024-09-24 14:07:44.774;;
41971;Customer 4;Affaire;;5.2538215564456845;-3.936422585273079;2024-09-30 19:08:15.673;5.3258867591532395;-4.013094067071327;2024-09-30 19:55:19.290;0 days 00:00:00;PREBOOK;2024-09-30 18:35:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Booking screen;1;0 days 00:47:00;14.3;DRIVER 04;3558KV01;2024-09-22 19:40:02.680;;
42146;Customer 4;premiere classe;;5.258150063507888;-3.9299201916302113;;5.3301981706235155;-4.021845588349003;;0 days 00:00:00;PREBOOK;2024-09-30 18:35:00.000;Cancelled;COA;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:45:00;0.62;DRIVER 29;3763KV01;2024-09-25 21:56:03.872;;
42271;Customer 1;Confort;;5.35961013246543;-3.966260999421923;2024-09-30 18:19:00.069;5.282759018296092;-3.971436228989874;2024-09-30 18:52:59.836;0 days 00:00:00;PREBOOK;2024-09-30 18:15:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:33:00;11.28;DRIVER 08;8392WWCI01;2024-09-27 16:18:07.376;;
42413;Customer 4;Affaire;Pont HKB: 500.00;;;;;;;;;;;;;;;;;;;;;;
42479;Customer 1;Confort;;5.27499367725896;-3.9731120820765478;2024-09-30 17:34:57.917;5.286410660639322;-3.9816925047923815;2024-09-30 17:47:07.622;0 days 00:00:00;PREBOOK;2024-09-30 17:30:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Web Portal;1;0 days 00:12:00;2.48;DRIVER 08;8392WWCI01;2024-09-30 15:27:36.619;;
42325;Customer 14;Confort;;5.368030980595927;-3.9674506837649766;2024-09-30 17:27:33.160;5.330963244655512;-3.965592488396109;2024-09-30 18:14:27.676;0 days 00:10:00;PREBOOK;2024-09-30 17:45:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Contract;1;0 days 00:29:00;6.05;DRIVER 27;123JS01;2024-09-28 00:00:00.836;;
42489;Customer 1;Confort;;5.284181804731884;-3.9860169534186127;2024-09-30 17:23:23.758;5.3065048149424365;-3.9856989575802215;2024-09-30 18:02:38.827;0 days 00:16:00;ASAP;2024-09-30 17:22:00.000;Done;Done;;40 - [2024-09-30 - 2024-10-07];Booking screen;1;0 days 00:39:00;3.69;DRIVER 54;AA-327-AL-CI01;2024-09-30 17:03:20.582;;
